Date,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation
30,80,74.9,73,73,70.6,69,91,86.7,80,3,0.7,0,27.9,27.8,27.8,0.00
1,78,74.9,73,73,72.1,71,98,91.1,82,5,1.1,0,27.8,27.8,27.8,0.00
2,80,75.8,72,73,71.3,70,96,85.6,74,3,2.5,1,27.9,27.8,27.8,0.00
3,81,76.9,74,73,71.1,69,90,82.8,72,7,2.5,1,27.9,27.8,27.8,0.00
4,81,77.3,75,73,71.3,69,89,81.8,67,9,2.4,0,27.8,27.8,27.8,0.00
5,81,75.8,74,73,71.4,70,93,86.8,70,5,2.4,0,27.8,27.8,27.7,0.00
6,78,75.1,73,73,71.9,70,98,90.1,82,5,2.0,0,27.8,27.8,27.7,0.00
7,81,77.4,74,76,73.3,72,93,87.4,77,5,2.0,0,27.9,27.8,27.7,0.00
8,76,75.1,73,74,72.8,71,96,92.5,90,1,0.8,0,27.9,27.8,27.8,0.00
9,82,76.9,74,75,73.4,73,96,88.8,74,3,1.1,0,27.9,27.8,27.8,0.00
10,78,74.9,73,75,73.0,72,98,93.4,87,5,1.5,0,27.9,27.8,27.8,0.00
11,81,77.0,74,74,72.6,71,96,85.5,76,6,2.0,1,27.9,27.9,27.8,0.00
12,83,78.0,73,74,72.4,71,92,82.5,68,6,2.3,0,28.0,27.9,27.9,0.00
13,83,67.8,0,73,62.4,0,95,71.5,0,5,2.0,0,28.0,24.4,0.0,0.00
14,85,77.8,74,73,71.6,71,92,81.4,63,7,3.5,0,27.9,27.9,27.9,0.00
15,84,78.5,74,72,70.9,70,90,77.9,64,7,3.4,1,27.9,27.9,27.9,0.00
16,86,78.4,74,73,71.3,70,90,78.9,64,9,4.1,0,27.9,27.9,27.9,0.00
17,84,78.9,75,72,70.8,70,88,77.1,64,7,3.1,1,27.9,27.9,27.9,0.00
18,86,79.3,73,72,71.1,70,91,76.3,60,3,2.4,1,27.9,27.8,27.8,0.00
19,91,79.8,73,73,71.8,70,98,78.4,50,2,0.8,0,27.9,27.8,27.7,0.00
20,86,78.4,73,76,73.8,72,96,87.0,64,0,0.0,0,27.8,27.8,27.7,0.00
21,89,80.8,74,75,73.1,64,96,79.5,43,0,0.0,0,27.8,27.7,27.7,0.00
22,89,81.5,77,76,73.6,72,94,77.8,56,3,1.4,0,27.8,27.7,27.7,0.00
23,85,79.6,76,74,72.8,71,90,79.6,71,5,2.0,0,27.8,27.8,27.7,0.00
24,83,78.1,74,73,71.8,70,93,80.8,68,6,2.9,0,27.9,27.8,27.8,0.00
25,78,75.5,73,73,71.9,71,92,88.5,84,3,1.6,1,27.9,27.9,27.9,0.00
26,77,73.8,71,74,71.1,69,97,91.5,86,5,3.0,1,27.9,27.9,27.8,0.00
27,75,73.4,72,72,70.3,68,96,90.0,86,10,3.3,1,27.9,27.9,27.8,0.00
28,79,75.0,73,72,71.0,70,95,86.4,78,7,4.6,1,27.9,27.8,27.8,0.00
29,76,74.0,72,72,71.4,71,98,92.0,85,6,3.4,0,27.9,27.8,27.8,0.00
30,76,73.5,72,73,70.9,70,96,91.0,88,5,2.4,1,27.9,27.9,27.8,0.00
31,78,75.3,73,72,70.9,70,92,86.4,81,6,3.4,1,27.9,27.9,27.9,0.00
1,81,75.4,73,73,71.8,71,95,89.9,79,10,4.4,2,27.9,27.9,27.8,0.00
2,76,73.6,72,73,71.8,71,96,93.6,90,5,2.5,1,27.9,27.8,27.8,0.00
3,79,74.4,72,72,71.3,70,96,90.1,77,3,2.0,0,27.8,27.8,27.8,0.00
4,74,64.1,0,73,71.9,71,96,83.3,0,45,7.1,1,27.8,27.8,27.8,0.00
5,76,74.0,73,74,72.3,71,96,93.6,91,3,2.1,1,27.8,27.8,27.8,0.00
6,78,75.3,73,74,72.0,70,93,89.6,84,3,2.0,1,27.8,27.8,27.7,0.00
7,77,74.9,73,73,72.3,72,96,90.8,85,7,5.0,2,27.8,27.7,27.7,0.00
8,79,75.6,74,73,71.3,70,91,85.9,81,10,6.1,2,27.8,27.7,27.7,0.00
9,79,75.5,74,73,71.4,70,90,86.8,77,9,4.4,1,27.8,27.7,27.7,0.00
10,81,76.4,73,72,70.9,70,91,83.1,73,7,5.0,2,27.9,27.8,27.7,0.00
11,78,74.5,72,73,71.5,71,95,90.3,84,5,1.1,0,27.9,27.9,27.8,0.00
12,81,76.0,72,72,71.5,71,95,86.6,73,5,1.4,0,27.9,27.9,27.8,0.00
13,81,76.6,73,74,71.5,70,93,84.6,73,3,1.4,0,27.9,27.9,27.8,0.00
14,81,75.9,73,73,71.4,70,93,86.1,72,5,1.9,1,27.9,27.9,27.9,0.00
15,81,75.9,73,73,71.4,70,91,85.6,73,5,1.6,0,27.9,27.9,27.9,0.00
16,79,75.8,73,74,71.6,70,93,87.4,80,2,1.1,0,27.9,27.9,27.9,0.00
17,82,76.8,72,74,71.4,70,95,84.4,68,6,1.8,0,27.9,27.9,27.9,0.00
18,82,75.9,72,75,72.6,70,96,89.1,79,2,1.0,0,28.0,27.9,27.9,0.00
19,86,77.6,71,76,72.0,69,98,83.4,72,5,2.1,0,28.0,28.0,27.9,0.00
20,85,77.1,72,71,70.0,69,91,79.8,63,2,1.4,0,28.0,28.0,27.9,0.00
21,82,75.9,71,72,70.0,69,91,81.8,65,7,4.1,0,28.0,27.9,27.9,0.00
22,83,76.0,70,72,70.0,68,95,82.5,61,3,1.3,0,27.9,27.9,27.9,0.00
23,82,76.0,70,73,70.0,69,96,81.6,66,2,1.1,0,27.9,27.9,27.9,0.00
24,85,77.5,71,71,70.0,69,91,78.4,62,5,2.0,0,27.9,27.9,27.9,0.00
25,84,76.5,71,70,69.0,68,95,78.9,63,6,3.5,0,27.9,27.9,27.8,0.00
26,82,75.6,71,70,68.1,67,88,78.5,61,5,2.3,0,27.9,27.9,27.8,0.00
27,80,74.8,69,70,68.5,67,95,81.5,65,2,0.9,0,27.9,27.9,27.8,0.00
28,86,76.9,69,70,68.9,67,95,77.8,55,3,1.0,0,27.9,27.9,27.8,0.00
29,88,79.3,71,72,70.9,69,97,77.0,52,5,1.5,0,27.9,27.9,27.8,0.00
30,80,76.1,74,74,71.4,70,93,85.0,73,3,1.0,0,27.9,27.8,27.8,0.00
31,80,76.9,74,73,71.6,70,95,84.1,78,2,0.7,0,27.8,27.8,27.8,0.04
1,82,75.0,73,73,70.6,69,91,86.0,67,3,1.5,0,27.9,27.8,27.8,0.01
2,82,76.3,73,72,70.5,69,90,82.8,67,5,1.5,0,27.9,27.9,27.8,0.12
3,80,75.9,73,73,71.3,70,96,85.5,72,3,1.4,0,27.9,27.8,27.8,0.02
4,78,74.5,72,73,71.3,69,98,89.3,82,2,1.0,0,27.8,27.8,27.8,0.59
5,80,75.8,73,73,71.4,69,93,86.4,80,3,1.6,0,27.8,27.8,27.8,0.12
6,79,75.1,73,74,71.5,70,95,89.3,83,3,1.8,1,27.8,27.8,27.8,0.02
7,80,75.3,74,73,71.4,69,91,87.5,77,3,1.3,0,27.9,27.8,27.8,0.20
8,79,74.8,73,74,72.0,71,95,90.9,84,3,0.9,0,27.9,27.9,27.8,0.12
9,78,74.9,73,73,71.6,70,95,90.3,83,3,1.5,0,27.9,27.9,27.8,0.16
10,79,74.9,72,73,71.0,69,96,88.0,78,5,2.3,0,27.9,27.9,27.8,0.12
11,81,75.1,72,71,69.9,69,93,84.9,69,5,2.3,0,28.0,27.9,27.9,0.04
12,80,75.3,72,71,70.3,69,91,84.5,74,9,3.4,1,28.0,27.9,27.9,0.01
13,79,74.9,73,71,70.6,69,95,87.8,77,5,2.0,0,28.0,27.9,27.9,0.08
14,82,75.9,72,73,71.0,70,96,85.1,72,5,2.0,0,28.0,28.0,27.9,0.55
15,78,74.6,72,72,70.6,70,93,87.5,81,1,0.5,0,28.0,28.0,27.9,0.01
16,78,74.8,72,71,70.5,69,93,86.5,79,2,1.4,0,28.0,27.9,27.9,0.01
17,78,74.0,72,73,71.3,70,96,91.1,82,2,0.8,0,28.0,27.9,27.9,0.03
18,80,75.9,73,76,73.4,72,96,92.0,81,1,0.1,0,28.8,28.0,27.9,0.08
19,81,75.5,73,75,73.1,72,100,92.1,77,1,0.1,0,27.9,27.9,27.8,1.02
20,81,75.1,69,74,70.3,67,96,85.8,72,3,0.8,0,27.9,27.9,27.9,0.20
21,85,77.3,70,72,70.6,69,96,80.9,64,2,0.5,0,27.9,27.9,27.8,0.02
22,87,77.5,70,71,70.3,69,96,79.5,59,2,0.6,0,28.0,27.9,27.9,0.08
23,87,78.1,70,73,71.0,68,98,80.3,58,1,0.4,0,28.0,28.0,27.9,0.00
24,86,76.1,71,75,72.3,69,98,88.8,69,7,1.3,0,28.0,27.9,27.9,2.20
25,84,76.8,71,76,73.4,71,98,89.0,72,0,0.0,0,28.0,27.9,27.9,3.43
26,87,77.3,73,74,72.0,71,98,84.6,60,5,0.6,0,28.0,28.0,27.9,2.09
